acousticness,danceability,duration_min,energy,genre,genre2,instrumentalness,key,liveness,loudness,mode,speechiness,track_album_name,track_album_release_year,track_artist,track_id,track_name,track_popularity,tempo,valence,in_obama_playlist
33.4,68.5,3.27,71.2,pop,pop,0.0001,F#,4.7,-4.302,minor,8.94,You Deserve Better (Andrelli Remix),2018,James Arthur,0JumfyG7GUshFjxouEXwhw,You Deserve Better - Andrelli Remix,53,115,48.3,0
41.0,55.0,4.36,38.0,soul/funk/motown,soul/funk/motown,0.0,F,6.0,-14.44,major,3.0,Introducing The Hardline According To Sananda Maitreya,1987,Sananda Maitreya,0Lz1NsgPykKrwVnsFCmY2R,Who's Loving You,36,80,49.0,1
0.158,75.9,2.54,81.7,edm,edm/house/dance,5.12,C#,31.7,-2.931,major,4.51,ADHD,2019,Hasse de Moor,0NBG8XHD1xri39FtzwVelX,ADHD,41,128,17.7,0
51.0,80.0,2.18,24.0,r&b,r&b,4.0,G,10.0,-11.31,major,16.0,Lovergirl,2020,Andrea Valle,0O8eJs6ACqUfvVC7Ly6Gap,Know You Bare,0,97,80.0,1
20.0,96.0,3.46,46.0,hip hop,hip hop/rap,0.0,A,16.0,-8.68,major,27.0,Don't Rush (feat. Headie One),2019,"Young T & Bugsey,Headie One",0PXukVbYpvz40KcEFKnIw7,Don't Rush (feat. Headie One),57,108,32.0,1
2.0,31.0,4.67,93.0,soul/funk/motown,soul/funk/motown,0.0,B,11.0,-6.4,major,13.0,Purple Rain,1984,Prince,0QeI79sp1vS8L3JgpEO7mD,Let's Go Crazy,20,196,38.0,1
3.35,90.7,5.64,66.0,rock,rock,19.4,C#,11.2,-11.951,minor,4.59,Obaa Sima,2015,Ata Kak,0RleEAKmcUbJ3R7AK0dSfV,Obaa Sima,42,131,97.3,0
4.0,76.0,3.18,54.0,pop,pop,0.0,A,9.0,-6.04,minor,3.0,Señorita,2019,"Shawn Mendes,Camila Cabello",0TK2YIli7K1leLovkQiNik,Señorita,75,117,75.0,1
69.9,23.6,4.08,82.3,rock,rock,64.3,E,36.4,-7.165,major,8.63,Playlist: New Wave,2008,Sid Vicious,0TaWdoJiAJoln9OQ1RbdNs,My Way - 1993 Remastered Version,43,175,25.9,0
84.0,52.0,3.73,37.0,jazz,jazz,0.0,C,11.0,-9.35,major,3.0,Chet Baker Sings And Plays (Remastered 2004),1955,Chet Baker,0UZFhlhUMrYyzzyOHkylM3,Let's Get Lost,52,78,55.0,1
17.0,90.0,2.87,69.0,hip hop,hip hop/rap,0.0,A,10.0,-5.09,major,17.0,Princess Diana (with Nicki Minaj),2023,"Ice Spice,Nicki Minaj",0ZxhtATQ0a6EvQNZ0z6NKV,Princess Diana (with Nicki Minaj),68,148,77.0,1
10.0,61.0,3.41,84.0,hip hop,hip hop/rap,0.0,C#,43.0,-5.73,minor,23.0,Finding Forever,2007,Common,0aIljv7XHkETklMyymrZVt,The People,26,93,49.0,1
81.0,42.0,5.63,2.0,jazz,jazz,0.0,D,10.0,-25.36,minor,4.0,Kind Of Blue (Legacy Edition),1959,"Miles Davis,John Coltrane,Bill Evans",0aWMVrwxPNYkKmFthzmpRi,Blue in Green (feat. John Coltrane & Bill Evans),62,110,15.0,1
31.8,82.2,2.66,58.6,rap,hip hop/rap,0.0,D,11.3,-6.834,minor,11.2,PUB G (feat. Branco & Larry 44),2019,LOLO,0alp0O9d7KTtAF1QnBqqiv,PUB G (feat. Branco & Larry 44),69,118,29.7,0
13.4,79.2,3.33,53.8,rap,hip hop/rap,0.0016,C,10.1,-6.641,minor,33.7,Kiko,2019,Gilli,0atWq5Ua1ax7zMKDjSQEpg,Dag 1,56,140,39.0,0
1.45,73.3,3.73,83.9,pop,pop,0.0187,C#,16.2,-2.84,minor,3.35,Close To Me (Remixes),2019,Ellie Goulding,0byab45cmZntz74RxcASrf,Close To Me (with Diplo) (feat. Swae Lee) - Felix Cartal Remix,9,126,47.1,0
0.0983,74.6,2.63,82.8,edm,edm/house/dance,88.8,F#,10.5,-12.369,minor,6.43,Sam Smith,2019,Dan McKie,0bzYxcZv8NUmIYUu5JSQ1j,Sam Smith,36,127,44.2,0
15.0,85.0,1.9,70.0,r&b,r&b,0.0,C,32.0,-3.29,major,8.0,Lil Boo Thang,2023,Paul Russell,0cVyQfDyRnMJ0V3rjjdlU3,Lil Boo Thang,79,114,92.0,1
21.9,67.7,4.9,53.1,r&b,r&b,0.0,G,17.3,-7.683,minor,3.27,More,2004,Tamia,0ceeRNqbOzRiGE42KWSrRa,Into You (feat. Fabolous),42,91,57.0,0
16.0,54.3,4.69,73.1,rock,rock,0.0,F#,10.3,-8.06,major,2.91,All Things Must Pass (50th Anniversary;Super Deluxe),1970,George Harrison,0hMvI4iye2BtqOPL57qfya,My Sweet Lord (2020 Mix),45,121,71.8,1
8.0,51.0,4.98,59.0,hip hop,hip hop/rap,0.0,A#,9.0,-8.74,major,13.0,Love In Flying Colors,2013,"The Foreign Exchange,Shana Tucker,Eric Roberson",0hihs6rrk3eL2iRS0xzmpX,Better (feat. Shana Tucker & Eric Roberson),26,93,65.0,1
1.05,82.3,3.41,62.2,latin,global music,0.0003,B,4.53,-5.706,major,4.91,Nibiru,2019,Ozuna,0iQmZXv7e8EHcmJmHpZX3o,Eres Top,72,100,60.2,0
32.0,43.8,5.22,44.7,rock,rock,0.839,E,6.69,-11.569,major,10.2,Tilt,1995,Scott Walker,0jPibF4bsrW5kLxEWYoxM7,Tilt,15,90,28.7,0
2.2,73.1,2.98,80.2,pop,pop,0.0,F,5.9,-4.763,major,6.23,Magnets (feat. Sophie Simmons),2019,Sam Feldt,0jlpHhGUFn4aAWLsRRnwep,Magnets (feat. Sophie Simmons),62,122,43.4,0
1.0,77.0,3.25,89.0,hip hop,hip hop/rap,0.0,G,40.0,-2.99,major,10.0,Cuz I Love You,2019,Lizzo,0k664IuFwVP557Gnx7RhIl,Juice,66,120,84.0,1
4.87,70.0,3.63,97.4,edm,edm/house/dance,3.08,F#,44.6,-4.65,minor,11.0,Mo Fo,2019,Koos,0nsG0DmswNIw4MXKVOeplj,Mo Fo,37,128,62.6,0
21.5,84.8,2.83,67.2,rap,hip hop/rap,0.0,A#,17.8,-5.728,minor,27.5,La Trompeta (feat. MellemFingaMuzik),2020,Camur,0oHSxbawtdWBH9N8SqCjfq,La Trompeta (feat. MellemFingaMuzik),49,105,85.9,0
71.8,52.2,2.91,50.3,r&b,r&b,0.0003,B,9.35,-6.198,minor,5.43,6,2017,Skinny Living,0qhpOEJtpTFG98mHk7VOZJ,Why,56,133,36.7,0
3.09,74.4,5.86,65.1,edm,edm/house/dance,49.4,G#,66.1,-8.252,major,8.4,Artist Pack,2018,Liquid Soul,0qrFfUaAxs0LEodNCuY6r8,We Come In Peace - Talpa Remix,41,138,19.0,0
0.501,57.8,3.42,91.9,edm,edm/house/dance,55.6,A,26.7,-6.158,minor,5.8,The Wave 2.0,2019,Cosmic Gate,0s3RMQJCObJ60jDI9iOzjZ,The Wave 2.0,29,130,8.53,0
9.43,55.5,2.7,98.9,edm,edm/house/dance,33.4,F#,34.6,-2.521,minor,4.88,Why,2016,Klaas,0t6NrHyr4HSXZRM1sKQnx2,Why - Original Edit,17,128,70.1,0
4.0,54.0,5.34,51.0,hip hop,hip hop/rap,0.0,D,9.0,-8.93,minor,25.0,The Miseducation of Lauryn Hill,1998,Ms. Lauryn Hill,0uEp9E98JB5awlA084uaIg,Doo Wop (That Thing),75,100,50.0,1
5.0,66.0,1.72,59.0,latin,global music,0.0,A,8.0,-5.04,major,5.0,Penas con Pan,2022,La Doña,0va257dK5KpE35Gd2EHH7E,Penas con Pan,33,170,75.0,1
3.0,79.0,2.45,72.0,hip hop,hip hop/rap,0.0,A#,21.0,-3.45,minor,9.0,Jump,2024,"Tyla,Gunna,Skillibeng",0ve0CavjqrUqVmZ605RhTV,Jump,69,100,63.0,1
38.0,64.0,3.39,37.0,jazz,jazz,0.0,G,19.0,-9.63,major,3.0,I Never Loved a Man the Way I Love You,1967,Aretha Franklin,0xGcAq56TXf3RnSHkCiL9k,Dr. Feelgood (Love Is a Serious Business),37,142,36.0,1
0.049,72.6,5.81,76.7,edm,edm/house/dance,58.9,B,31.3,-4.367,minor,4.08,Slow It Down,2019,PRINSH,0zeoeHdThN0z9V8AAaQ2ML,Slow It Down,28,124,34.4,0
32.0,51.0,3.91,46.0,soul/funk/motown,soul/funk/motown,0.0,B,65.0,-7.66,major,4.0,Throwback Tunes: 70s,2017,Dobie Gray,11YWR8tzDTR2P4KZ3lAySj,Drift Away,48,76,57.0,1
0.809,74.6,3.37,86.3,latin,global music,0.006,F#,57.0,-7.723,minor,17.1,Merry Go Round,2001,Delinquent Habits,125Lz4KWSwhCvtP44FkKQI,House of the Rising Drum,35,104,86.9,0
2.0,80.0,3.06,69.0,hip hop,hip hop/rap,0.0,A#,7.0,-6.74,minor,10.0,Girl Eats Sun,2020,"Hope Tala,Aminé",13z7RLPmgupzRwQY9NiTZU,Cherries,47,90,77.0,1
14.7,69.4,2.96,84.2,latin,global music,0.0001,D,26.1,-4.91,major,6.24,Nadie Como Tu,2019,Amenazzy,14Q3OrXMvSTCJvqeSNXovU,Nadie Como Tu,67,105,75.3,0
8.35,71.1,3.48,72.4,pop,pop,0.0,G,3.89,-4.809,major,10.6,Blue,2018,Jonas Blue,14nIFzHQf1OBWf6VHVR8DF,Wherever You Go,21,104,47.8,0
70.0,68.3,3.57,51.7,jazz,jazz,0.0,C,10.9,-11.86,minor,23.0,Elis & Tom,1974,"Elis Regina,Antônio Carlos Jobim",15ouqiBsgL12olEwP3COsH,Águas De Março,64,144,67.3,1
11.3,54.9,3.35,51.7,rock,rock,25.5,C#,20.5,-13.633,major,2.39,"Welcome To Zamrock! How Zambia's Liberation Led To a Rock Revolution, Vol. 1 (1972-1977)",2017,Amanaz,17WvocrxbKL2t7HyoSpSCK,Khala My Friend,37,88,63.5,0
2.83,56.4,3.06,72.9,edm,edm/house/dance,0.0022,D#,13.4,-4.897,major,4.23,Ruled the World,2017,Hogland,185KiwRpwjqe52jyaRUBFn,Ruled the World,58,128,17.5,0
5.73,42.4,4.71,69.4,edm,edm/house/dance,0.0937,F#,13.3,-4.912,minor,3.86,Mistaken (feat. Alex Aris),2019,Martin Garrix,18KjYhghq6K3ZmfcewWDp6,Mistaken (feat. Alex Aris),68,128,8.01,0
21.2,84.5,3.27,76.6,pop,pop,0.0,D,11.1,-5.727,minor,6.58,South of the Border (feat. Camila Cabello & Cardi B) [Cheat Codes Remix],2019,Ed Sheeran,19TOAlTFq0NDHvUPQR0tkr,South of the Border (feat. Camila Cabello & Cardi B) - Cheat Codes Remix,69,114,78.2,0
4.34,57.7,2.67,97.5,edm,edm/house/dance,0.0166,D,19.0,-2.841,major,6.56,Oh Baby,2019,Martin Mix,1A80HRxJMhn6YAxqRup4BQ,Oh Baby,37,126,41.6,0
12.7,73.3,2.58,70.0,rap,hip hop/rap,0.0,D,10.4,-5.734,minor,19.4,A NIVEAU,2019,ATYPISK,1Adv24faBNfctHoOJYoJLX,Fra Gaden (feat. Benny Jamz),55,90,37.8,0
46.0,41.0,5.46,40.0,soul/funk/motown,soul/funk/motown,0.0,C#,21.0,-12.48,major,34.0,Brown Sugar,1995,D'Angelo,1AeqdOUul6h2wVmqCL9thP,Higher,38,68,53.0,1
4.95,86.5,2.95,62.4,rap,hip hop/rap,0.0151,E,8.65,-4.758,minor,7.79,Spice up your life,2020,Benjamin Hav,1CPylrbel65jjZ2jcAuCH0,Dig,51,104,39.9,0
2.0,75.0,4.03,36.0,r&b,r&b,0.0,G,28.0,-10.38,major,28.0,The Velvet Rope,1997,"Janet Jackson,Q-Tip,Joni Mitchell",1EhvYd5e7vkoN3udEN1Vyl,Got 'Til It's Gone,61,90,53.0,1
2.16,59.0,3.1,88.8,pop,pop,0.0,F,48.7,-2.851,major,7.65,High Hopes (Don Diablo Remix),2019,Panic! At The Disco,1FlIzyCvRFQUE4pc7PiaIo,High Hopes - Don Diablo Remix,60,126,28.8,0
3.68,28.6,6.53,89.5,rock,rock,5.9,A,11.6,-7.547,minor,5.44,Highway Stars,2006,Megarock Hits,1GuflZBOKGX6uCFXdysSU2,Highway Star - Deep Purple,0,174,39.1,0
13.0,52.0,4.59,76.0,rock,rock,0.0,D,10.0,-9.81,major,4.0,Can't Buy A Thrill,1972,Steely Dan,1I7zHEdDx8Ny5RxzYPqsU2,Reelin' In The Years,3,135,77.0,1
11.6,71.2,3.28,64.6,pop,pop,0.0,F,12.3,-4.23,major,18.2,Happier (Remixes),2018,Marshmello,1IjuevPDJ8Sa97wFwQ5j4V,Happier - Frank Walker Remix,51,105,60.7,0
0.0,72.0,3.41,89.0,rock,rock,0.0,B,30.0,-7.82,major,10.0,The Essential Bangles,2004,The Bangles,1Jwc3ODLQxtbnS8M9TflSP,Walk Like an Egyptian,61,103,82.0,1
6.08,82.4,2.47,71.6,rap,hip hop/rap,0.0,G,26.2,-4.504,minor,7.32,Flytilstand,2019,Benny Jamz,1KKayLqz1vq8jdyRiYSVyx,Flytilstand,61,100,32.9,0
0.116,64.9,3.28,80.4,latin,global music,0.811,G#,10.6,-7.293,major,25.2,Los Grandes Éxitos En Español,1999,Cypress Hill,1Ka5HDqeiKARfY79ATb7pA,Ilusiones (Illusions) - Spanish Edit,40,182,68.6,0
13.3,57.5,2.51,59.6,rock,rock,0.0,A,4.79,-10.579,major,7.52,Super Hits,2000,Mountain,1KvFwIDhxZlVGXahX8QIGV,Mississippi Queen,7,140,72.1,0
0.41,74.9,4.38,74.5,edm,edm/house/dance,39.5,F#,7.48,-7.367,minor,4.79,In Return,2014,ODESZA,1LeItUMezKA1HdCHxYICed,Say My Name (feat. Zyra),66,115,34.7,0
8.0,47.0,3.84,76.0,rock,rock,0.0,A#,13.0,-6.33,major,5.0,Ain't No Harmin' Me,2023,The War And Treaty,1LnTC50m1LHC36jtKo0UJk,Ain't No Harmin' Me,22,89,28.0,1
19.0,71.0,4.42,60.0,rock,rock,0.0,G#,12.0,-5.52,major,3.0,Gettin' Old,2023,Luke Combs,1Lo0QY9cvc8sUB2vnIOxDT,Fast Car,82,98,67.0,1
33.2,84.9,3.3,71.2,latin,global music,0.0,A#,6.88,-4.398,major,29.0,Navegando,2019,Mike Bahía,1MYMEtHi6fmmGiDFLrBiY3,La Lá,68,94,48.6,0
3.68,51.6,3.31,85.7,pop,pop,0.0,C,26.4,-3.432,minor,4.63,Discovery,2019,Syn Cole,1MgpEKnO6sgMTb5zumAsgn,Discovery,55,128,44.8,0
70.0,44.0,4.79,44.0,jazz,jazz,48.0,C,18.0,-14.23,major,5.0,Best Of Jazz Bass,2013,Charles Mingus,1N1rSR5jV0Bln3z73lfGbH,II B.S.,0,107,69.0,1
43.0,64.0,2.86,49.0,soul/funk/motown,soul/funk/motown,0.0,C,15.0,-9.31,major,3.0,Greatest Hits: From The Beginning,1965,The Miracles,1QOpwPQpuOmNoOmMMXCepp,You Really Got A Hold On Me - Mono,35,118,74.0,1
69.1,30.6,4.61,55.7,pop,pop,1.53,F,10.3,-9.69,minor,3.43,Every Day Like the Last,2023,Wye Oak,1Qd8eeihda5T8hrj6AGH2b,Its Way With Me,16,92,36.4,1
3.0,71.0,4.75,73.0,soul/funk/motown,soul/funk/motown,0.0,B,7.0,-9.22,major,4.0,Innervisions,1973,Stevie Wonder,1QvWxgZvTU0w8rlPRE5Zrv,Don't You Worry 'Bout A Thing,59,125,92.0,1
79.0,50.0,3.26,19.0,r&b,r&b,0.0,G#,16.0,-11.12,major,3.0,For My Friends,2021,Jacob Banks,1RDz34JJrGPn5msAXvnvoO,Found,46,61,23.0,1
81.0,52.0,3.5,36.0,hip hop,hip hop/rap,0.0,G,10.0,-10.21,major,4.0,Freudian,2017,Daniel Caesar,1RMJOxR6GRPsBHL8qeC2ux,Best Part (feat. H.E.R.),84,75,44.0,1
0.0324,72.3,3.71,84.1,rock,rock,17.4,A,10.2,-8.649,major,4.81,Hot Rocks 1964-1971,1971,The Rolling Stones,1RvuWdj9YsXn4cMMLXr85Z,(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,0,136,85.4,0
0.377,55.3,2.84,95.4,edm,edm/house/dance,4.29,G,40.8,-2.883,major,5.75,Never Change,2019,Don Diablo,1SG6r7daFfpzPcU15luVqB,Never Change,72,126,23.6,0
0.002,35.1,3.76,92.3,rock,rock,11.6,F#,33.7,-2.435,minor,5.37,An End Has a Start,2007,Editors,1U2xFfjK1QUuicENnW0iwv,An End Has a Start,53,150,54.3,0
72.4,52.5,4.58,45.9,rock,rock,0.0,C,50.2,-8.22,major,7.02,Chicago Transit Authority,1969,Chicago,1UTweT08J2Yxn5h0O7uL5e,Does Anybody Really Know What Time It Is? - 2002 Remaster,40,118,26.4,1
10.0,61.0,3.03,82.0,soul/funk/motown,soul/funk/motown,1.0,D,5.0,-9.38,minor,5.0,Dance Party,1965,Martha Reeves & The Vandellas,1WPqawIF9HCKfSOt7mN6X0,Nowhere To Run,59,129,88.0,1
54.0,45.0,5.4,26.0,jazz,jazz,0.0,G#,7.0,-13.19,minor,4.0,Time Out,1959,The Dave Brubeck Quartet,1YQWosTIljIvxAgHWTp7KP,Take Five,67,174,60.0,1
0.908,70.7,2.72,80.6,pop,pop,0.0,F#,36.6,-4.777,major,17.5,All The Lies (Remixes),2019,Alok,1YSwQvw1NrEPfA0j1iY8eV,All The Lies - Toby Romeo Remix / Radio Edit,56,120,63.4,0
12.0,83.0,4.8,81.0,hip hop,hip hop/rap,0.0,G#,5.0,-2.15,major,10.0,Greatest Hits,1998,"2Pac,K-Ci & JoJo",1ZB2zIoc8AjSuyqKRcJgbO,How Do U Want It,55,92,84.0,1
20.3,71.4,3.86,68.6,r&b,r&b,0.0008,B,10.2,-6.333,major,4.45,Chapters,2019,James TW,1bQhZOoXYqjXs7u7rFXo0h,You & Me,77,127,82.8,0
48.8,47.2,4.65,65.5,r&b,r&b,0.0,C#,68.8,-8.39,minor,5.61,Good Days,2020,SZA,1bWh6WbYzSFxsOKzE4EpUu,Good Days,52,121,41.6,1
17.0,49.0,4.98,57.0,hip hop,hip hop/rap,0.0,G,12.0,-7.01,major,30.0,Energy,2018,"Sampa the Great,Nadeem Din-Gabisi",1bj5ZFpxGFP5ooQcctNVB4,Energy,51,90,31.0,1
26.0,42.0,4.97,80.0,soul/funk/motown,soul/funk/motown,0.0,C,21.0,-9.79,minor,7.0,Innervisions,1973,Stevie Wonder,1bpaA5Pn4jlo1cRAOBNQnh,Golden Lady,46,102,55.0,1
16.0,83.0,2.97,52.0,afrobeats,afrobeats,53.0,G#,11.0,-10.87,minor,14.0,Born in the Wild,2024,Tems,1eDI5oU04SLsXl0TfxfwYf,Love Me JeJe,72,104,53.0,1
18.0,52.0,3.33,91.0,hip hop,hip hop/rap,0.0,F#,9.0,-3.33,minor,34.0,Made It,2020,Teyana Taylor,1fyZR63zCjiR35K3fxDC1q,Made It,23,96,77.0,1
37.0,89.0,3.88,31.0,rock,rock,0.0,A,10.0,-16.09,minor,6.0,Nick Of Time,1989,Bonnie Raitt,1gqk2dawfdLdn4XamF27cx,Nick Of Time,50,118,78.0,1
2.89,90.1,3.96,61.5,latin,global music,0.0031,C#,5.78,-9.837,minor,37.7,Los Grandes Éxitos En Español,1999,Cypress Hill,1hSJnfkEqbGF5afz5aqKqi,Siempre Peligroso - feat. Fermin IV Caballero of Control Machete,50,92,67.4,0
63.0,73.0,3.44,56.0,latin,global music,0.0,F,11.0,-7.97,major,3.0,Tú,2019,maye,1jecO8NeYLsVWVptITz4c1,Tú,63,115,73.0,1
6.93,70.3,3.06,87.9,pop,pop,0.0,C#,31.5,-4.514,minor,17.7,Can We Pretend (feat. Cash Cash) [Sigala Remix],2019,P!nk,1k08GK7ox8SDmEMvn81TwU,Can We Pretend (feat. Cash Cash) - Sigala Remix,57,125,54.2,0
